GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
springboot_pvs_app,pvs.app.entity,Repository,137,98,38,8,0,6,26,12,6,9
springboot_pvs_app,pvs.app.entity,GithubIssue,272,3,54,0,6,1,43,1,16,1
springboot_pvs_app,pvs.app.entity,Member,86,78,21,9,5,5,18,9,3,9
springboot_pvs_app,pvs.app.entity,GithubCommit,214,170,48,20,0,11,39,20,5,20
springboot_pvs_app,pvs.app.entity,Project,150,93,39,7,0,8,25,13,2,13
springboot_pvs_app,pvs.app.config,SecurityConfig,5,19,0,0,0,6,1,2,1,2
springboot_pvs_app,pvs.app.config,ApplicationConfig,0,7,0,0,0,2,0,2,0,2
springboot_pvs_app,pvs.app.service,ProjectService,22,160,2,8,5,39,2,7,0,4
springboot_pvs_app,pvs.app.service,GithubCommitLoaderThread,171,0,0,0,41,0,10,0,10,0
springboot_pvs_app,pvs.app.service,RepositoryService,33,26,0,0,11,7,2,2,2,2
springboot_pvs_app,pvs.app.service,GithubCommitService,5,87,1,3,2,21,1,6,0,5
springboot_pvs_app,pvs.app.service,MemberService,18,29,0,0,5,9,1,2,1,2
springboot_pvs_app,pvs.app.service,GithubIssueLoaderThread,126,0,0,0,34,0,4,0,4,0
springboot_pvs_app,pvs.app.service,SonarApiService,89,28,4,0,21,7,4,2,2,2
springboot_pvs_app,pvs.app.service,GithubApiService,393,31,12,0,90,8,27,2,21,2
springboot_pvs_app,pvs.app.controller,ProjectController,68,9,4,0,16,4,6,1,4,1
springboot_pvs_app,pvs.app.controller,GithubApiController,78,14,2,0,21,5,4,2,3,2
springboot_pvs_app,pvs.app.controller,SonarApiController,21,11,0,0,6,4,1,2,1,2
springboot_pvs_app,pvs.app.dto,MemberDTO,9,23,0,0,3,8,3,5,3,5
springboot_pvs_app,pvs.app.dto,RepositoryDTO,115,0,22,0,3,0,20,0,9,0
springboot_pvs_app,pvs.app.dto,GithubCommitDTO,69,61,0,0,14,24,7,16,7,16
springboot_pvs_app,pvs.app.dto,GithubIssueDTO,62,0,4,0,20,0,13,0,11,0
springboot_pvs_app,pvs.app.dto,ResponseProjectDTO,158,42,38,0,0,5,23,9,4,9
springboot_pvs_app,pvs.app.dto,CodeCoverageDTO,121,0,22,0,7,0,20,0,9,0
springboot_pvs_app,pvs.app.dto,CreateProjectDTO,98,17,22,0,0,3,15,5,4,5
springboot_pvs_app,pvs.app,Application,5,3,0,0,2,1,1,1,1,1
